id,title,difficulty,distance_m,duration_min,altitude_diff,altitude_start,has_rentals,lift_available,is_open,is_prepared,location,activity_type
dss_3146702,Bus - Ski Area Val Comelico - Val Grande,,1269.0,0.06,356.0,,0,0,1,0,Unknown,activity
smgpoi5c54b6a474f70ed896780975d9f3696d,Bus - Ski Area Val Comelico - Val Grande,,,,,,0,0,1,0,Unknown,9CBAC00246A8467E93DD66F3A1A9C594
smgpoi6ac7117f2426c956038b3f5bd8a816cf,Convertible-style cable car Tiers,,,,,1126.0,0,0,1,0,Tiers am Rosengarten/Tires al Catinaccio,9CBAC00246A8467E93DD66F3A1A9C594
dss_231,Cacciatori,,599.0,0.17,156.0,2456.0,0,0,0,0,Unknown,activity
dss_30683525,Cacciatori,2,680.0,0.05,151.0,2458.0,0,0,0,0,Unknown,activity
dss_215848,Cacciatori,4,545.0,0.38,215.0,1757.0,0,0,0,0,Unknown,activity
dss_382,Cadepunt,,313.0,0.02,39.0,1586.0,0,0,1,0,Sëlva/Selva di Val Gardena,activity
dss_216083,Cadepunt,2,370.0,0.05,39.0,1586.0,0,0,1,0,Sëlva/Selva di Val Gardena,activity
dss_1680264414,Cadepunt,,313.0,0.03,39.0,,0,0,0,0,Unknown,activity
smgpoi97daaf650e6b48b181bb994ab6234305,Cadepunt,,,,,1625.0,0,0,1,0,Sëlva/Selva di Val Gardena,9CBAC00246A8467E93DD66F3A1A9C594
smgpoic913dd0e8bde34e69dc8487d14a104da,Cadepunt,,,,,1625.0,0,0,1,0,Sëlva/Selva di Val Gardena,6285F49DBBE04393BAD29E6EF219EB03
dss_215958,CAI,6,3600.0,0.14,,,0,0,0,0,Unknown,winter
smgpoib101d61f9d7fe4256292efe52e9df7a3,CAI,,,,,2450.0,1,0,0,0,Brixen/Bressanone,6285F49DBBE04393BAD29E6EF219EB03
smgpoi31d65935a00e54e94ced2259a1cd67d8_reduced,Calisthenics Park,,,,,1210.0,0,0,1,0,Al Plan/San Vigilio,leisure experience
dss_1671870811,Campagnola,2,110.0,0.0,,,0,0,0,0,Unknown,activity
dss_187454,Campagnola,2,780.0,0.0,0.0,,0,0,0,0,Unknown,winter
dss_184925,Campanil,2,850.0,0.06,120.0,2060.0,0,0,1,0,Deutschnofen/Nova Ponente,activity
