id,en_title,activity_type,location,difficulty,distance_m,duration_min,summary,keywords,summary_source,hazard_flags,condition_flags,has_hazard,has_condition_info
smgpoif8b9edbb2c59ae222b31ea6abf4c5816,Winter hiking: The Aschtalm hut in the Gsiesertal Valley 1950 m,climbing,Gsies/Valle di Casies,2,900.0,4.2,Climbing route in Gsies/Valle di Casies.,"the gsiesertal valley, winter hiking, the aschtalm hut, winter, aschtalm",template,,,False,False
smgpoi0ca7697c91113c0071cc10f976153a21,Winter hike: A relaxing hike in the Gsiesertal Valley,skiing,Gsies/Valle di Casies,2,900.0,4.2,Skiing route in Gsies/Valle di Casies.,"the gsiesertal valley, winter hike, a relaxing hike, winter",template,,,False,False
smgpoie0b60927ea6113d4e2583556a7ab3ede,Winter hike: Along the Talblickweg path in the Gsiesertal Valley,climbing,Gsies/Valle di Casies,2,900.0,4.2,Climbing route in Gsies/Valle di Casies.,"the gsiesertal valley, winter hike, the talblickweg path, winter, talblickweg",template,,,False,False
smgpoi7a702e2ad8009c90d87610130d6645dc,Winter hike: Hike past farms in the Gsiesertal Valley,climbing,Gsies/Valle di Casies,2,900.0,4.2,Climbing route in Gsies/Valle di Casies.,"the gsiesertal valley, winter hike, hike, farms, winter",template,,,False,False
smgpoic953f4700ec8ed866f490d9e9826ed75,Winter hike: Panoramic hike in Taisten,climbing,Welsberg-Taisten/Monguelfo-Tesido,2,900.0,4.2,Climbing route in Welsberg-Taisten/Monguelfo-Tesido.,"winter hike, panoramic hike, taisten, winter",template,,,False,False
smgpoi684437f3bae0126234ed47b7658865f7,Winter hike: Short hike at the Ackerle in the Gsiesertal Valley,skiing,Unknown,2,900.0,4.2,Skiing route in Unknown.,"the gsiesertal valley, winter hike, short hike, the ackerle, winter",template,,,False,False
smgpoi7a507d58b67c72d537c46fe21fc68184,Winter hike: Stroll in Welsberg,climbing,Welsberg-Taisten/Monguelfo-Tesido,2,900.0,4.2,Climbing route in Welsberg-Taisten/Monguelfo-Tesido.,"welsberg, winter hike, stroll, winter",template,,,False,False
smgpoi61d077fe2e13a6ee829a9a0c3f0015c0,"Winter hiking along Ried, Lettner, Waldbrunn and Gailerhof in Welsberg",climbing,Welsberg-Taisten/Monguelfo-Tesido,2,900.0,4.2,Climbing route in Welsberg-Taisten/Monguelfo-Tesido.,"winter, waldbrunn, gailerhof, welsberg, ried",template,,,False,False
smgpoi6d23c06b461cecc31b923b8db7a677a4,Winter hike: Passing by historic farmsteads and farmhouses,skiing,Gsies/Valle di Casies,2,900.0,4.2,Skiing route in Gsies/Valle di Casies.,"winter hike, historic farmsteads, farmhouses, winter",template,,,False,False
smgpoi962d8faeb4c5d43de2ad748c91532099,Winter hike: Hiking along the Römerweg in Welsberg,hiking,Welsberg-Taisten/Monguelfo-Tesido,2,900.0,4.2,Hiking route in Welsberg-Taisten/Monguelfo-Tesido.,"welsberg, winter hike, the römerweg, winter",template,,,False,False
smgpoi7c6860b7893188be395498f27877f02e,Winter hike: Hiking from Welsberg to the dam of Olang,climbing,Welsberg-Taisten/Monguelfo-Tesido,2,900.0,4.2,Climbing route in Welsberg-Taisten/Monguelfo-Tesido.,"welsberg, olang, winter hike, the dam, winter",template,,,False,False
smgpoi37aab24a44cb0d899b143aa6bdf6772e,Winter hike: Hiking amongst farms in Taisten,climbing,Welsberg-Taisten/Monguelfo-Tesido,2,900.0,4.2,Climbing route in Welsberg-Taisten/Monguelfo-Tesido.,"winter hike, farms, taisten, winter",template,,,False,False
smgpoiefa01061e7fdc2945703198811ca7568,Winter hike: To the Gallfallalm huts 1667m in the Gsiesertal Valley,climbing,Gsies/Valle di Casies,2,900.0,4.2,Climbing route in Gsies/Valle di Casies.,"the gsiesertal valley, winter hike, the gallfallalm huts, winter, gallfallalm",template,,,False,False
smgpoie3fe12113cb2cc0b8f3e356371ab1b23,Winter walk - Ahornach/Acereto Tote Möser (palude),climbing,Sand in Taufers/Campo Tures,2,900.0,4.2,Climbing route in Sand in Taufers/Campo Tures.,"(palude, winter",template,,,False,False
smgpoi89ffba269e54e308743fc95c129de3c7,Winter walking tour - Braies Vecchia/ Altprags,climbing,Prags/Braies,2,900.0,4.2,Climbing route in Prags/Braies.,"- braies vecchia/ altprags, winter",template,,,False,False
smgpoi6adda7f3409a9f3940782cd1ba714580,Winter hiking trail Ameisberg,climbing,Prettau/Predoi,2,900.0,4.2,Climbing route in Prettau/Predoi.,"ameisberg, winter hiking trail",template,,,False,False
smgpoi99723f75cd01ba012d040f4a3251058b,Winter hike below the Sassolungo Group,climbing,S.Crestina Gherdëina/Santa Cristina Val Gardana,2,900.0,4.2,Climbing route in S.Crestina Gherdëina/Santa Cristina Val Gardana.,"the sassolungo group, winter hike, winter",template,,,False,False
smgpoi1762a7fdbdeeeca63d3b60ad1e154344,Hiking in the winter on the panorama way,skiing,Ritten/Renon,2,900.0,4.2,Skiing route in Ritten/Renon.,"the winter, the panorama way",template,,,False,False
smgpoibc28c78bfef36ec237178662567560ee_reduced,Winter hike at the Steinegg Ridgeway,family,Karneid/Cornedo all'Isarco,2,900.0,4.2,Family route in Karneid/Cornedo all'Isarco.,"the steinegg ridgeway, winter hike, winter",template,,family,False,True
smgpoi39b827211bb9fc6bd336d7991dc78249,Winter hiking trail at the end of the valley in Casere-Kasern,climbing,Prettau/Predoi,2,900.0,4.2,Climbing route in Prettau/Predoi.,"winter hiking trail, the end, the valley",template,,,False,False
smgpoia1603875196b1f130c6ef4399064c6a0,Winter hike Val d'Anna - Col de Flam,climbing,Urtijëi/Ortisei,2,900.0,4.2,Climbing route in Urtijëi/Ortisei.,"val d'anna - col de flam, winter hike, winter",template,,,False,False
smgpoi8e2cf4cde816393a7097f1b564327ee5_reduced,Winter Hiking Tour via the Archaik trail,cycling,Prad am Stilfser Joch/Prato allo Stelvio,2,900.0,4.2,Cycling route in Prad am Stilfser Joch/Prato allo Stelvio.,"winter hiking tour, the archaik trail, archaik",template,,,False,False
smgpoib77c87287dc2a48da595f307d6e257d9,Winter hike on the Hans and Paula Steger trail,climbing,Unknown,2,900.0,4.2,Climbing route in Unknown.,"paula steger, winter hike, the hans, winter, hans",template,,,False,False
smgpoi5d7a472c5c4724394013ab43c03d3c39,Winter hike along the artists' path from La Villa to San Cassiano,climbing,Badia,2,900.0,4.2,Climbing route in Badia.,"la villa, san cassiano, winter hike, the artists' path, winter",template,,,False,False
